20260630 164200;30495.25;30500.25;30493;30497.5;935
20260630 164300;30497.75;30514.5;30497.25;30510.25;3392
20260630 164400;30510.25;30513.25;30502.25;30502.5;2583
20260630 164500;30502.75;30512;30500.75;30511.5;1710
20260630 164600;30512;30523;30509.5;30521.5;3798
20260630 164700;30521.5;30526.25;30517.75;30525.75;2298
20260630 164800;30525.75;30528;30521.25;30522.5;2149
20260630 164900;30522.75;30535.25;30521.25;30533;3203
20260630 165000;30533;30538.25;30532;30537.5;2019
20260630 165100;30537.25;30541.25;30529.5;30537.5;3477
20260630 165200;30537.25;30538;30532.25;30533.5;1355
20260630 165300;30534;30538.75;30532;30535;1307
20260630 165400;30535.25;30543.5;30535;30543;1915
20260630 165500;30542.5;30546.5;30540.25;30543.25;2465
20260630 165600;30543;30546.5;30534.25;30534.25;2266
20260630 165700;30534.5;30535.25;30530.25;30531.5;1816
20260630 165800;30531.25;30532.25;30527.5;30530.75;1897
20260630 165900;30530.5;30531.25;30521.25;30524.25;2354
20260630 170000;30524;30529.5;30520.75;30528;1720
20260630 170100;30528;30534.75;30526.5;30531.25;2195
20260630 170200;30531.5;30535;30525.75;30534.25;1969
20260630 170300;30534.25;30542.5;30533.25;30541.5;2058
20260630 170400;30542;30556.25;30541.75;30556;4397
20260630 170500;30555.75;30558;30550;30550.75;2357
20260630 170600;30550.5;30552.75;30544.5;30552.25;2182
20260630 170700;30552;30555;30549.75;30550.75;1356
20260630 170800;30551;30558;30549.25;30555.5;1540
20260630 170900;30555.75;30561.5;30550.75;30559.25;1713
20260630 171000;30559.25;30563;30553.75;30555.75;1879
20260630 171100;30555.75;30556.25;30548.5;30554;1673
20260630 171200;30554.25;30556;30549.75;30552.5;1014
20260630 171300;30552.5;30553.5;30547;30550.75;1470
20260630 171400;30550.25;30553.5;30541.75;30542;1767
20260630 171500;30542;30546.5;30534.5;30535;3120
20260630 171600;30535.5;30537.5;30530;30532.5;2991
20260630 171700;30533.5;30544.25;30532;30543.75;2547
20260630 171800;30544;30545.25;30536;30537.25;1662
20260630 171900;30537;30541.5;30534.25;30538.5;1419
20260630 172000;30538.75;30544;30536.75;30542.75;1515
20260630 172100;30543;30553.25;30542.5;30553;2928
20260630 172200;30552.75;30553.75;30542.25;30542.25;2163
20260630 172300;30542.5;30547.25;30535.5;30543.5;2416
20260630 172400;30543.25;30543.25;30535.5;30540.25;2200
20260630 172500;30540.5;30542;30533.5;30539.5;1919
20260630 172600;30539.75;30544.25;30537.75;30538.5;1096
20260630 172700;30538.75;30541.75;30536;30537.75;1028
20260630 172800;30538;30539.25;30526.75;30529;2687
20260630 172900;30529.25;30534;30524.75;30529;2467
20260630 173000;30529.25;30531.75;30525.75;30530.25;1652
20260630 173100;30530.25;30532.75;30520.25;30526.25;3029
20260630 173200;30526.5;30529.75;30519;30520.75;1930
20260630 173300;30521;30525.75;30515.25;30520.5;2676
20260630 173400;30520.75;30530.25;30519;30528.75;2345
20260630 173500;30528.5;30532.75;30525.75;30530.5;1615
20260630 173600;30530.25;30540;30530;30535.25;2449
20260630 173700;30535.25;30535.75;30523.25;30525.75;2238
20260630 173800;30525.75;30528.25;30523.5;30526.25;978
20260630 173900;30526.25;30531;30518.75;30524.5;2277
20260630 174000;30525.25;30531;30518;30521.5;1906
20260630 174100;30521.25;30532.5;30519.25;30531.25;1916
20260630 174200;30531;30534.75;30524;30533.25;1879
20260630 174300;30533.5;30545;30531.75;30541.5;2934
20260630 174400;30540.75;30542;30538;30539.75;1724
20260630 174500;30539.5;30544;30535;30543.25;1780
20260630 174600;30543.25;30546;30532;30532.25;2607
20260630 174700;30532.5;30535.5;30527.25;30532;2094
20260630 174800;30532;30533;30524.5;30526.75;1814
20260630 174900;30527;30530.5;30522;30527.5;2081
20260630 175000;30527;30529.5;30519.5;30524.75;1764
20260630 175100;30524.75;30525.75;30512.25;30521;3238
20260630 175200;30520.25;30532;30517.5;30524.75;2362
20260630 175300;30524.75;30529.25;30517;30523.25;2049
20260630 175400;30522.75;30533.75;30521.5;30529.75;2628
20260630 175500;30529.75;30530.5;30523.25;30528.5;1684
20260630 175600;30528;30531.25;30521;30524.25;1566
20260630 175700;30524.5;30532;30522.5;30525.25;1396
20260630 175800;30524.75;30531.25;30524.75;30527.5;1134
20260630 175900;30527.5;30528;30519.5;30527.25;1701
20260630 180000;30527;30528.25;30521;30523.75;996
20260630 180100;30524.5;30528.75;30518.25;30520.75;2440
