20260909 171800;29764.25;29768.25;29761.75;29768.25;10
20260909 171900;29768.25;29768.25;29767.5;29767.5;3
20260909 172000;29760;29760;29756.5;29756.5;3
20260909 172100;29750;29750.5;29749;29749;7
20260909 172200;29756;29756;29756;29756;1
20260909 172300;29755;29757.25;29752.25;29757.25;9
20260909 172400;29755.5;29761.5;29755.25;29761.25;8
20260909 172600;29760;29760.25;29760;29760.25;2
20260909 172700;29763;29763;29754;29757;5
20260909 172800;29758;29758;29758;29758;1
20260909 172900;29751.5;29751.5;29751.5;29751.5;1
20260909 173000;29751;29751;29745;29745;13
20260909 173100;29744;29749;29744;29749;3
20260909 173200;29750.5;29750.5;29738;29738;14
20260909 173300;29736.5;29739;29736.5;29736.75;5
20260909 173400;29747;29747;29746;29746;3
20260909 173500;29750.25;29750.25;29750.25;29750.25;1
20260909 173600;29750.25;29750.25;29750.25;29750.25;1
20260909 173800;29741;29743.75;29734.5;29734.5;9
20260909 173900;29732.75;29734;29723.25;29726.5;19
20260909 174100;29730;29735;29730;29734.25;7
20260909 174200;29735;29735;29735;29735;1
20260909 174300;29740;29740.25;29740;29740.25;2
20260909 174400;29742.5;29747.75;29742.5;29747.75;3
20260909 174500;29748.75;29751.25;29748.75;29751;9
20260909 174600;29751.5;29754;29749.25;29754;13
20260909 174700;29753.25;29763.5;29753.25;29762;6
20260909 174800;29763.75;29767.5;29763.5;29767.5;19
20260909 174900;29760.5;29760.5;29754.75;29755.75;7
20260909 175000;29757.5;29757.5;29757.5;29757.5;8
20260909 175100;29761.75;29763.75;29759.75;29759.75;7
20260909 175200;29760.75;29760.75;29760.75;29760.75;1
20260909 175300;29762;29762;29762;29762;1
20260909 175400;29772;29772;29772;29772;10
20260909 175500;29775;29776;29773.5;29775.5;7
20260909 175600;29772.75;29775.75;29772.75;29773.25;5
20260909 175700;29773;29773;29769;29769;3
20260909 175800;29767.25;29767.25;29767.25;29767.25;1
20260909 175900;29765;29765;29765;29765;1
20260909 180000;29765;29765;29765;29765;2
20260909 180200;29761;29764.25;29761;29764.25;10
20260909 180300;29760.5;29760.5;29760.5;29760.5;1
20260909 180400;29764;29764;29764;29764;8
20260909 180500;29763.25;29763.25;29763.25;29763.25;1
20260909 180600;29760;29760;29758.5;29758.5;3
20260909 180700;29755.75;29755.75;29752;29753.5;4
20260909 180800;29752.25;29755.75;29750.25;29750.25;7
20260909 180900;29745.25;29745.25;29745;29745;2
20260909 181000;29747.5;29747.75;29745.25;29745.75;6
20260909 181100;29748.25;29748.5;29742.75;29742.75;11
20260909 181200;29740;29740;29740;29740;2
20260909 181300;29740.75;29740.75;29740;29740;2
20260909 181400;29742.75;29745.25;29739.75;29740.5;10
20260909 181500;29742.25;29742.25;29742.25;29742.25;1
20260909 181600;29734;29734.75;29733;29734.25;6
20260909 181700;29731;29735.25;29729.5;29735.25;9
20260909 181800;29741;29741;29740.25;29740.25;2
20260909 181900;29737.75;29746.25;29737.75;29746.25;7
20260909 182000;29744;29745;29734;29734;3
20260909 182100;29743;29743;29743;29743;1
20260909 182200;29746.5;29746.75;29742.5;29742.5;6
20260909 182400;29748.5;29750.25;29748.5;29750.25;3
20260909 182500;29752;29752;29752;29752;2
20260909 182800;29755.25;29755.5;29755.25;29755.5;4
20260909 182900;29744.5;29744.5;29744;29744;3
20260909 183100;29747.25;29747.25;29746.75;29746.75;2
20260909 183300;29740;29742.75;29740;29742.75;2
20260909 183400;29750;29753.75;29750;29753.75;3
20260909 183500;29750.25;29750.25;29750.25;29750.25;2
20260909 183700;29748.5;29750.75;29748.25;29750.75;3
20260909 183800;29750.25;29750.25;29750.25;29750.25;1
20260909 184000;29755.25;29755.25;29755.25;29755.25;1
20260909 184100;29760;29760;29758.75;29758.75;7
20260909 184200;29758.5;29759.5;29758.5;29759.5;3
20260909 184300;29758.5;29759.25;29758.5;29759.25;3
20260909 184400;29762.5;29762.5;29762.5;29762.5;1
