timestamp,eth_price,expiry_date,max_pain_price,call_oi,put_oi,call_notional,put_notional
2026-07-01T00:11:18.062Z,1571.15,260701,1575,14150.4,18596.2,22243589.62,29240126.73
2026-07-01T00:11:18.062Z,1571.15,260702,1575,9752.6,5020.1,15331692.26,7892829.02
2026-07-01T00:11:18.062Z,1571.15,260703,1650,50557.1,68319.5,79470328.41,107386593.68
2026-07-01T00:11:18.062Z,1571.15,260704,1550,1090.1,2652,1713557.73,4167627.67
2026-07-01T00:11:18.062Z,1571.15,260710,1650,30717.2,43285.8,48287365.55,68048165.06
2026-07-01T00:11:18.062Z,1571.15,260717,1600,7794,8208,12252462.98,12899928.5
2026-07-01T00:11:18.062Z,1571.15,260731,1800,163197.6,102341.3,256535356.45,160865523.93
2026-07-01T00:11:18.062Z,1571.15,260828,1700,33016,23945.6,51901635.56,37639491.7
2026-07-01T00:11:18.062Z,1571.15,260925,2300,227534.2,103580.7,357661076.89,162827862.02
2026-07-01T00:11:18.062Z,1571.15,261225,2200,297704,110277,467939243.64,173349839.83
2026-07-01T00:11:18.062Z,1571.15,270326,2000,59736,30961,93908684.95,48656340.33
2026-07-01T00:11:18.062Z,1571.15,270625,1600,5956,1616,9362424.97,2539314.32
2026-07-01T00:12:33.999Z,1571.33,260701,1575,14150.4,18596.2,22240798.07,29231704.42
2026-07-01T00:12:33.999Z,1571.33,260702,1575,9752.6,5020.1,15331194.48,7892814.65
2026-07-01T00:12:33.999Z,1571.33,260703,1650,50557.1,68319.5,79466824.21,107372620.28
2026-07-01T00:12:33.999Z,1571.33,260704,1550,1090.1,2652,1713398.91,4167624.19
2026-07-01T00:12:33.999Z,1571.33,260710,1650,30717.2,43285.8,48288838.96,68029171.92
2026-07-01T00:12:33.999Z,1571.33,260717,1600,7794,8208,12250350.28,12899729.23
2026-07-01T00:12:33.999Z,1571.33,260731,1800,163197.6,102341.3,256505475.39,160857688.18
2026-07-01T00:12:33.999Z,1571.33,260828,1700,33016,23945.6,51900584.16,37637049.99
2026-07-01T00:12:33.999Z,1571.33,260925,2300,227534.2,103580.7,357607399.41,162817338.84
2026-07-01T00:12:33.999Z,1571.33,261225,2200,297704,110277,467923250.23,173353717.27
2026-07-01T00:12:33.999Z,1571.33,270326,2000,59736,30961,93898761.55,48654071.54
2026-07-01T00:12:33.999Z,1571.33,270625,1600,5956,1616,9361672.69,2539123.92
2026-07-01T00:13:42.107Z,1570.93,260701,1575,14150.4,18596.2,22237869.41,29224463.08
2026-07-01T00:13:42.107Z,1570.93,260702,1575,9752.6,5020.1,15330885.51,7889349.92
2026-07-01T00:13:42.107Z,1570.93,260703,1650,50557.1,68319.5,79454930.62,107363069.54
2026-07-01T00:13:42.107Z,1570.93,260704,1550,1090.1,2652,1713012.8,4166876.79
2026-07-01T00:13:42.107Z,1570.93,260710,1650,30717.2,43285.8,48286366.52,68026870.96
2026-07-01T00:13:42.107Z,1570.93,260717,1600,7794,8208,12249697.96,12898081.59
2026-07-01T00:13:42.107Z,1570.93,260731,1800,163197.6,102341.3,256499364.85,160835167.86
2026-07-01T00:13:42.107Z,1570.93,260828,1700,33016,23945.6,51888475.42,37631841.48
2026-07-01T00:13:42.107Z,1570.93,260925,2300,227534.2,103580.7,357570976.62,162796952.62
2026-07-01T00:13:42.107Z,1570.93,261225,2200,297704,110277,467852786.17,173309180.74
2026-07-01T00:13:42.107Z,1570.93,270326,2000,59736,30961,93869787.38,48652277.14
2026-07-01T00:13:42.107Z,1570.93,270625,1600,5956,1616,9361548.19,2538908.14
2026-07-01T00:14:45.065Z,1571.16,260701,1575,14150.4,18596.2,22237916.53,29224236.46
2026-07-01T00:14:45.065Z,1571.16,260702,1575,9752.6,5020.1,15331648.79,7889515.26
2026-07-01T00:14:45.065Z,1571.16,260703,1650,50557.1,68319.5,79463562.91,107368036.86
