qld_time,timestamp,symbol,side,price,size_usd,remaining_usd
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1245574.4,1245574.4
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1243587.2,1243587.2
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1235952.64,1235952.64
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1222904.02,1222904.02
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1222596.85,1222596.85
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1180017.15,1180017.15
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1177370.63,1177370.63
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1162192.64,1162192.64
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1129298.12,1129298.12
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1102066.4,1102066.4
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1091502.29,1091502.29
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1072963.58,1072963.58
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1070217.64,1070217.64
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1062971.09,1062971.09
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1059441.74,1059441.74
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1040793.66,1040793.66
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1039538.39,1039538.39
2026-07-10 17:04:48,2026-07-10T07:04:48.980Z,ETHUSDT,sell,undefined,1027823.31,1027823.31
