qld_time,timestamp,eth_price,nq_price,yellow_count,funding_open,funding_high,funding_low,funding_close,oi_open,oi_high,oi_low,oi_close,cvd_agg_buy,cvd_agg_sell,cvd_delta
2026-06-29 19:18:05,2026-06-29T09:18:05.802Z,1575.20,29720.00,1,0.001254,0.001419,0.001254,0.001419,3668528681.12,3668528681.12,3668528681.12,3668528681.12,226413.83,4888633.25,11360196.28
2026-06-29 19:19:18,2026-06-29T09:19:18.999Z,1575.97,29720.00,3,0.001419,0.001498,0.001419,0.001498,3669884428,3672652624.15,3668640195.29,3669096072.1,421622.84,1282852.04,13330112.29
2026-06-29 19:20:32,2026-06-29T09:20:32.424Z,1574.85,29720.00,0,0.001498,0.001498,0.001498,0.001498,3669096072.1,3669096072.1,3664681069.87,3664950281.35,1657604.52,1059537.34,-2494613.83
2026-06-29 19:21:40,2026-06-29T09:21:40.551Z,1574.85,29720.00,0,0.001498,0.001511,0.001498,0.001511,3664950281.35,3666112188.93,3664375332.98,3665837427.8,2211000.84,1123312.09,-2073649.73
2026-06-29 19:22:53,2026-06-29T09:22:53.530Z,1574.32,29720.00,1,0.001511,0.001511,0.001488,0.001488,3665837427.8,3667231932.11,3664746198.83,3664746198.83,2736314.80,2495718.85,-5865413.36
2026-06-29 19:23:56,2026-06-29T09:23:56.201Z,1574.17,29720.00,1,0.001488,0.001488,0.001488,0.001488,3664746198.83,3664746198.83,3662886376.15,3662921301.34,481854.94,1117324.15,-6031939.02
2026-06-29 19:25:05,2026-06-29T09:25:05.811Z,1572.14,29720.00,3,0.001521,0.001521,0.001451,0.001451,3662460562.62,3662460562.62,3662460562.62,3662460562.62,42309.85,30714.39,-6389134.52
2026-06-29 19:26:19,2026-06-29T09:26:19.663Z,1569.76,29720.00,3,0.001451,0.001451,0.001348,0.001348,3656854471.48,3658027935.23,3653969241.25,3653969241.25,5702115.28,14636653.78,-20421314.01
2026-06-29 19:27:27,2026-06-29T09:27:27.757Z,1570.46,29720.00,3,0.001348,0.001348,0.001348,0.001348,3653969241.25,3653969241.25,3648567462.71,3651728275.07,5046834.03,2121032.58,-14501281.50
2026-06-29 19:28:30,2026-06-29T09:28:30.609Z,1573.83,29720.00,2,0.001348,0.001348,0.001193,0.001193,3651728275.07,3664280075.26,3651631834.96,3664280075.26,2725996.19,7498839.34,-14853848.86
