time,taker_buy_vol,taker_sell_vol,cum_vol_delta
1778263200000,21557292.4619,23951575.7386,-754912208.26
1778266800000,14150222.5019,31661747.9512,-772423733.7093
1778270400000,11178334.1477,49870533.3413,-811115932.9029
1778274000000,9415396.3757,23103928.5623,-824804465.0895
1778277600000,7670897.6219,21799981.7849,-838933549.2525
1778281200000,5483081.9699,22520863.466,-855971330.7486
1778284800000,7608942.713,19060531.601,-867422919.6366
1778288400000,9729781.1473,15387764.466,-873080902.9553
1778292000000,8608034.0794,13329389.1252,-877802258.0011
1778295600000,6151644.6263,10734832.9099,-882385446.2847
1778299200000,13077120.2876,49895656.4555,-919203982.4526
1778302800000,5853094.8708,7849073.5599,-921199961.1417
1778306400000,15358198.0479,8518590.4283,-914360353.5221
1778310000000,11217705.9087,8115533.607,-911258181.2204
1778313600000,10756191.9065,9409121.0095,-909911110.3234
1778317200000,5123811.3603,10488933.7061,-915276232.6692
1778320800000,3279977.4429,7770591.5705,-919766846.7968
1778324400000,3595476.6305,8985080.9049,-925156451.0712
1778328000000,4809221.058,7278733.8474,-927625963.8606
1778331600000,3585601.6243,7460989.0403,-931501351.2766
1778335200000,8418668.1661,10622735.5588,-933705418.6693
1778338800000,16493780.1748,13230742.7058,-930442381.2003
1778342400000,18089952.2506,17799413.1406,-930151842.0903
1778346000000,22974096.7453,26180054.1056,-933357799.4506
1778349600000,10430468.1636,15812725.9494,-938740057.2364
1778353200000,9164978.6909,12043744.5026,-941618823.0481
1778356800000,3473951.7584,10274543.4064,-948419414.6961
1778360400000,3297767.3363,10901172.9959,-956022820.3557
1778364000000,5422624.4317,10586421.2756,-961186617.1996
1778367600000,4457345.6536,11726913.331,-968456184.877
1778371200000,5562161.4012,12847292.218,-975741315.6938
1778374800000,6159721.9001,15792801.6758,-985374395.4695
1778378400000,5569613.8483,11163310.5768,-990968092.198
1778382000000,7575265.6807,12707009.2818,-996099835.7991
1778385600000,5324714.9243,12638588.7048,-1003413709.5796
1778389200000,4584688.2979,9956210.1591,-1008785231.4408
1778392800000,5765186.6105,10461585.928,-1013481630.7583
1778396400000,4160520.8261,9895779.3993,-1019216889.3315
1778400000000,7400026.9553,10465511.0181,-1022282373.3943
1778403600000,4172923.3815,10535779.0037,-1028645229.0165
1778407200000,5142559.0435,11940517.8468,-1035443187.8198
1778410800000,6276293.6347,11263108.0274,-1040430002.2125
1778414400000,4363598.4341,9209730.7234,-1045276134.5018
1778418000000,10681436.61,16842570.6965,-1051437268.5883
1778421600000,8787100.537,18662897.1107,-1061313065.162
1778425200000,27577577.0382,25052319.6535,-1058787807.7773
1778428800000,25470375.1728,16200833.8029,-1049518266.4074
1778432400000,227982798.6121,41238756.3219,-862774224.1172
