time,agg_taker_buy_vol,agg_taker_sell_vol,cum_vol_delta
1777550400000,13820603.3685,12806285.7738,-190895771.7405
1777554000000,22180963.8137,18842939.9122,-187557747.839
1777557600000,29627835.9506,30788551.5919,-188718463.4803
1777561200000,15854285.5677,16020310.008,-188884487.9206
1777564800000,7640384.2808,9920303.4595,-191164407.0993
1777568400000,12481700.0026,9951526.9452,-188634234.0419
1777572000000,10104094.1783,7822829.5454,-186352969.409
1777575600000,11239324.1282,9321527.3315,-184435172.6123
1777579200000,7151163.1375,6318723.7628,-183602733.2376
1777582800000,6386333.6073,8022277.3637,-185238676.994
1777586400000,3855509.8106,6835015.3087,-188218182.4921
1777590000000,4382742.6616,4801104.808,-188636544.6385
1777593600000,8738196.8804,5765737.1041,-185664084.8622
1777597200000,9602135.2643,7813606.3196,-183875555.9175
1777600800000,8823706.5625,6650001.6312,-181701850.9862
1777604400000,41847241.5569,32707175.6111,-172561785.0404
1777608000000,9490944.0368,12758945.5273,-175829786.5309
1777611600000,7703296.298,8021178.5899,-176147668.8228
1777615200000,13610122.6758,16487110.5382,-179024656.6852
1777618800000,15936512.9671,12301899.7161,-175390043.4342
1777622400000,15623995.7662,11543035.8853,-171309083.5533
1777626000000,7822962.6527,8491162.0292,-171977282.9298
1777629600000,10041677.3382,9251154.4547,-171186760.0463
1777633200000,26596578.764,14433133.49,-159023314.7723
1777636800000,60832458.4591,47215768.3474,-145406624.6606
1777640400000,52931828.6601,43527323.6204,-136002119.6209
1777644000000,36288991.0857,44791284.9206,-144504413.4558
1777647600000,25299192.7369,28310521.4785,-147515742.1974
1777651200000,24751172.8216,30918065.0434,-153682634.4192
1777654800000,12837383.9956,10690180.9023,-151535431.3259
1777658400000,9189501.4925,11290021.3278,-153635951.1612
1777662000000,7496524.8232,9983593.9483,-156123020.2863
1777665600000,15922296.5673,31298410.5174,-171499134.2364
1777669200000,11442917.4461,14859518.1182,-174915734.9085
1777672800000,6591397.7928,5596035.3126,-173920372.4283
1777676400000,4784893.0913,4933528.7667,-174069008.1037
1777680000000,5698180.3502,4615814.278,-172986642.0315
1777683600000,5160126.7463,4433314.1145,-172259829.3997
